,ID,Domain,Mechanism,
0,1,"Software, Hardware",Subvert Access Control
1,10,Software,Manipulate Data Structures
2,100,Software,Manipulate Data Structures
3,101,Software,Inject Unexpected Items
4,102,Software,Subvert Access Control
5,103,"Software, Social Engineering",Engage in Deceptive Interactions
6,104,Software,Subvert Access Control
7,105,"Software, Communications",Abuse Existing Functionality
8,107,Software,Subvert Access Control
9,108,Software,Inject Unexpected Items
10,109,Software,Inject Unexpected Items
11,11,Software,Manipulate System Resources
12,110,Software,Inject Unexpected Items
13,111,Software,Abuse Existing Functionality
14,112,Software,Employ Probabilistic Techniques
15,113,"Software, Hardware",Abuse Existing Functionality
16,114,"Software, Hardware",Subvert Access Control
17,115,Software,Subvert Access Control
18,116,"Software, Hardware, Supply Chain, Physical Security",Collect and Analyze Information
19,117,"Software, Communications, Physical Security",Collect and Analyze Information
20,12,Communications,Abuse Existing Functionality
21,120,Software,Manipulate Data Structures
22,121,"Software, Hardware",Abuse Existing Functionality
23,122,"Software, Hardware",Subvert Access Control
24,123,Software,Manipulate Data Structures
25,124,"Software, Hardware",Manipulate Data Structures
26,125,"Software, Communications",Abuse Existing Functionality
27,126,Software,Manipulate Data Structures
28,127,Software,Collect and Analyze Information
29,128,Software,Manipulate Data Structures
30,129,Software,Manipulate Data Structures
31,13,Software,Subvert Access Control
32,130,"Software, Communications",Abuse Existing Functionality
33,131,Software,Abuse Existing Functionality
34,132,Software,Engage in Deceptive Interactions
35,133,Software,Abuse Existing Functionality
36,134,Software,Inject Unexpected Items
37,135,Software,Inject Unexpected Items
38,136,Software,Inject Unexpected Items
39,137,"Software, Social Engineering",Inject Unexpected Items
40,138,Software,Inject Unexpected Items
41,139,Software,Manipulate Data Structures
42,14,Software,Manipulate Data Structures
43,140,Software,Manipulate Timing and State
44,141,Software,Manipulate System Resources
45,142,Software,Manipulate System Resources
46,143,Software,Collect and Analyze Information
47,144,Software,Collect and Analyze Information
48,145,Software,Engage in Deceptive Interactions
49,146,Software,Manipulate System Resources
50,147,Software,Abuse Existing Functionality
51,148,"Software, Hardware, Communications",Engage in Deceptive Interactions
52,149,Software,Collect and Analyze Information
53,15,Software,Inject Unexpected Items
54,150,"Software, Hardware, Physical Security",Collect and Analyze Information
55,151,"Software, Hardware, Communications, Social Engineering",Engage in Deceptive Interactions
56,153,Software,Manipulate Data Structures
57,154,"Software, Hardware, Communications, Supply Chain, Social Engineering",Engage in Deceptive Interactions
58,155,Software,Collect and Analyze Information
59,157,"Software, Communications",Collect and Analyze Information
60,158,"Software, Communications",Collect and Analyze Information
61,159,Software,Engage in Deceptive Interactions
62,16,Software,Employ Probabilistic Techniques
63,160,Software,Abuse Existing Functionality
64,161,"Software, Hardware, Communications",Manipulate System Resources
65,162,Software,Subvert Access Control
66,163,Social Engineering,Engage in Deceptive Interactions
67,164,Social Engineering,Engage in Deceptive Interactions
68,165,Software,Manipulate System Resources
69,166,"Software, Hardware",Manipulate System Resources
70,167,"Software, Hardware, Physical Security",Collect and Analyze Information
71,168,Software,Manipulate System Resources
72,169,"Software, Communications",Collect and Analyze Information
73,17,Software,Subvert Access Control
74,170,Software,Collect and Analyze Information
75,173,"Software, Social Engineering",Engage in Deceptive Interactions
76,174,Software,Inject Unexpected Items
77,175,Software,Inject Unexpected Items
78,176,"Software, Hardware, Supply Chain",Manipulate System Resources
79,177,Software,Subvert Access Control
80,178,"Software, Social Engineering",Inject Unexpected Items
81,179,Software,Abuse Existing Functionality
82,18,Software,Inject Unexpected Items
83,180,"Software, Hardware",Subvert Access Control
84,181,Software,Engage in Deceptive Interactions
85,182,"Software, Social Engineering",Inject Unexpected Items
86,183,Software,Inject Unexpected Items
87,184,"Software, Supply Chain, Social Engineering",Manipulate System Resources
88,185,Software,Manipulate System Resources
89,186,"Software, Supply Chain, Social Engineering",Manipulate System Resources
90,187,"Software, Supply Chain",Manipulate System Resources
91,188,"Software, Hardware, Physical Security",Collect and Analyze Information
92,189,"Software, Hardware, Physical Security",Collect and Analyze Information
93,19,Software,Inject Unexpected Items
94,190,"Software, Physical Security",Collect and Analyze Information
95,191,"Software, Physical Security",Collect and Analyze Information
96,192,"Hardware, Communications",Collect and Analyze Information
97,193,Software,Inject Unexpected Items
